Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-01,2012,1,1,,8.4,,1,,4.7,,13.3,,0,,,M,,M,3.1,,,,25,,50,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-02,2012,1,2,,1.1,,-8.6,,-3.8,,21.8,,0,,,M,,M,0.7,,,,30,,41,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-03,2012,1,3,,-8.5,,-15.2,,-11.9,,29.9,,0,,,M,,M,0.2,,,,4,,35,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-04,2012,1,4,,0.8,,-12.4,,-5.8,,23.8,,0,,,M,,M,0,,,,27,,41,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-05,2012,1,5,,2,,-0.8,,0.6,,17.4,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-06,2012,1,6,,9.3,,0,,4.7,,13.3,,0,,,M,,M,0,,,,26,,35,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-07,2012,1,7,,9.3,,0.9,,5.1,,12.9,,0,,,M,,M,0,,,,29,,41,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-08,2012,1,8,,2.2,,-2.2,,0,,18,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-09,2012,1,9,,5.9,,-2.6,,1.7,,16.3,,0,,,M,,M,0,,,,28,,33,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-10,2012,1,10,,6.8,,-2.1,,2.4,,15.6,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-11,2012,1,11,,6.4,,-2,,2.2,,15.8,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-12,2012,1,12,,5.4,,3.5,,4.5,,13.5,,0,,,M,,M,9.2,,,,11,,33,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-13,2012,1,13,,3.6,,-6.1,,-1.3,,19.3,,0,,,M,,M,0.9,,,,26,,44,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-14,2012,1,14,,-5.6,,-14.9,,-10.3,,28.3,,0,,,M,,M,0.2,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-15,2012,1,15,,-6.3,,-16.5,,-11.4,,29.4,,0,,,M,,M,0.2,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-16,2012,1,16,,5,,-11.1,,-3.1,,21.1,,0,,,M,,M,2.6,,,,24,,33,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-17,2012,1,17,,11.2,,-2,,4.6,,13.4,,0,,,M,,M,7.7,,,,27,,63,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-18,2012,1,18,,-2,,-6.2,,-4.1,,22.1,,0,,,M,,M,0.2,,,,30,,44,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-19,2012,1,19,,-1.1,,-11.5,,-6.3,,24.3,,0,,,M,,M,1.4,,,,29,,44,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-20,2012,1,20,,-5.6,,-12.6,,-9.1,,27.1,,0,,,M,,M,1.1,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-21,2012,1,21,,-0.3,,-8.3,,-4.3,,22.3,,0,,,M,,M,0.6,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-22,2012,1,22,,1.1,,-11.7,,-5.3,,23.3,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-23,2012,1,23,,8.8,,1.1,,5,,13,,0,,,M,,M,7.6,,,,23,,56,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-24,2012,1,24,,2.4,,-0.5,,1,,17,,0,,,M,,M,0.4,,,,27,,44,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-25,2012,1,25,,-0.3,,-1.7,,-1,,19,,0,,,M,,M,0.9,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-26,2012,1,26,,2.4,,-1.7,,0.4,,17.6,,0,,,M,,M,2.5,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-27,2012,1,27,,5,,-1.4,,1.8,,16.2,,0,,,M,,M,12.2,,,,28,,44,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-28,2012,1,28,,2.4,,-1.7,,0.4,,17.6,,0,,,M,,M,1.3,,,,28,,61,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-29,2012,1,29,,2.7,,-6.9,,-2.1,,20.1,,0,,,M,,M,3.4,,,,27,,39,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-30,2012,1,30,,-0.5,,-5.5,,-3,,21,,0,,,M,,M,2.2,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-01-31,2012,1,31,,12,,-5.1,,3.5,,14.5,,0,,,M,,M,0,,,,27,,43,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-01,2012,2,1,,10.6,,2.1,,6.4,,11.6,,0,,,M,,M,0,,,,27,,44,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-02,2012,2,2,,2.2,,-0.6,,0.8,,17.2,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-03,2012,2,3,,3.9,,-1.3,,1.3,,16.7,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-04,2012,2,4,,5.1,,-3.3,,0.9,,17.1,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-05,2012,2,5,,5.1,,-1.4,,1.9,,16.1,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-06,2012,2,6,,9.3,,-1.6,,3.9,,14.1,,0,,,M,,M,0,,,,27,,37,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-07,2012,2,7,,3.2,,-7.4,,-2.1,,20.1,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-08,2012,2,8,,1.1,,-8.3,,-3.6,,21.6,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-09,2012,2,9,,5.3,,-5.3,,0,,18,,0,,,M,,M,0,,,,27,,35,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-10,2012,2,10,,0.8,,-3.2,,-1.2,,19.2,,0,,,M,,M,2.6,,,,27,,37,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-11,2012,2,11,,-1,,-13,,-7,,25,,0,,,M,,M,4.1,,,,3,,33,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-12,2012,2,12,,-2,,-7.5,,-4.8,,22.8,,0,,,M,,M,0,,,,30,,41,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-13,2012,2,13,,2,,-7,,-2.5,,20.5,,0,,,M,,M,0,,,,25,,41,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-14,2012,2,14,,1.5,,-1.2,,0.2,,17.8,,0,,,M,,M,0.6,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-15,2012,2,15,,4.1,,-3.6,,0.3,,17.7,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-16,2012,2,16,,5.5,,-3.1,,1.2,,16.8,,0,,,M,,M,1.8,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-17,2012,2,17,,5.2,,-2.5,,1.4,,16.6,,0,,,M,,M,0.2,,,,28,,39,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-18,2012,2,18,,4.3,,-4,,0.2,,17.8,,0,,,M,,M,1.7,,,,28,,39,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-19,2012,2,19,,1.1,,-6.6,,-2.8,,20.8,,0,,,M,,M,0.2,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-20,2012,2,20,,4.1,,-9.4,,-2.7,,20.7,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-21,2012,2,21,,5.2,,-6.2,,-0.5,,18.5,,0,,,M,,M,1.4,,,,21,,35,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-22,2012,2,22,,7.2,,0.3,,3.8,,14.2,,0,,,M,,M,0.2,,,,26,,41,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-23,2012,2,23,,7.7,,-1.5,,3.1,,14.9,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-24,2012,2,24,,6.3,,-0.5,,2.9,,15.1,,0,,,M,,M,8.8,,,,25,,57,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-25,2012,2,25,,0.9,,-4.8,,-2,,20,,0,,,M,,M,0.6,,,,31,,48,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-26,2012,2,26,,2.5,,-6.7,,-2.1,,20.1,,0,,,M,,M,0,,,,,,<31,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-27,2012,2,27,,10.1,,-4.2,,3,,15,,0,,,M,,M,0,,,,29,,56,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-28,2012,2,28,,5,,-0.6,,2.2,,15.8,,0,,,M,,M,0,,,,30,,32,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-02-29,2012,2,29,,2.7,,0.5,,1.6,,16.4,,0,,,M,,M,2.1,,,,8,,46,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-03-01,2012,3,1,,6.3,,-0.5,,2.9,,15.1,,0,,,M,,M,4.5,,,,28,,33,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-03-02,2012,3,2,,10.8,,0,,5.4,,12.6,,0,,,M,,M,5.4,,,,22,,48,
-79.91,43.29,HAMILTON RBG CS,6153301,2012-03-03,2012,3,3,,10.5,,0.9,,5.7,,12.3,,0,,,M,,M,0,,,,26,,65,
